입사 후 어떻게 기여할 수 있나요?,"3개월 내: 기존 파이프라인 파악 후 API 연동 안정성 보강. 12개월 내: Python 기반 미디어 처리 기술 실무 적용으로 추론 레이턴시 개선. 장기: 8개 카드사 연동 경험의 표준화 감각으로 다양한 AI 모델이 즉시 붙을 수 있는 표준 통합 프레임워크 기여."
이직을 결심한 이유는?,"SI 환경에서 6년간 빠른 적응력과 완성도를 검증받았습니다. 이제는 1회성이 아닌 지속적으로 고도화하며 서비스의 성장을 함께하고 싶습니다."
STAR — LG유플러스 직승인 경험,"S: VAN사 없이 카드사와 직접 소켓 통신하는 직승인 빌링 시스템 구축. T: 8가지 전문 포맷 분석 + 100만 건 배치를 제한 시간 내 완료. A: Chunk 단위 최적화·병렬 처리 도입, DB Lock 이슈 해결, 카드사별 공통 게이트웨이 로직 구현. R: 매입처리 시간 단축, 100만 건 처리 정합성 오류 0% 달성."
Embedding이란?,"텍스트 데이터를 고차원 벡터로 변환하는 기술. 의미적 유사성을 반영해 변환하므로 '고양이'와 '강아지'처럼 유사한 개념은 벡터 공간에서 가까운 위치에 배치됨. 단순 키워드가 아닌 의미 기반 비교가 가능해짐."
Vector DB란?,"Embedding된 벡터 데이터를 저장하고 유사도 기반 검색을 수행하는 DB. RDBMS가 정확한 값 매칭에 강하다면 Vector DB는 의미적으로 가까운 데이터를 빠르게 찾는 데 특화. RAG 구조에서 문서를 벡터화해 저장하고 유사 문서를 검색하는 역할."
Semantic Search란?,"키워드가 아닌 의미 기반 검색. '자동차 보험'을 검색해도 '차량 보장 상품' 같은 의미 유사 문장이 결과로 포함됨."
Retriever란?,"사용자 질문을 기반으로 관련 문서를 검색하는 역할. Vector DB 또는 검색 엔진으로 질문과 유사한 문서 Top-K를 가져옴. RAG에서 LLM에게 전달할 컨텍스트 후보를 만드는 핵심 단계."
Reranker란?,"Retriever가 가져온 후보 문서 중 가장 적합한 문서를 다시 정렬하는 모델. Retriever는 빠르게 후보를 많이 가져오는 역할이고 Reranker는 cross-encoder 기반으로 정확도를 높여 재평가."
Prompt란?,"LLM에게 전달하는 입력 전체. 질문뿐 아니라 역할 지시·조건·예시·컨텍스트 정보 포함. RAG에서는 Retriever가 가져온 문서 내용도 Prompt에 포함되어 LLM이 근거 기반 답변을 생성."
Context Window란?,"LLM이 한 번에 처리할 수 있는 입력 토큰의 최대 범위. 초과하면 이전 내용이 잘려 중요한 정보가 누락될 수 있어, RAG에서는 필요한 정보만 선별해서 Prompt에 넣는 것이 중요."
Hallucination이란?,"LLM이 실제로 존재하지 않는 정보나 사실이 아닌 내용을 그럴듯하게 생성하는 현상. 모델이 확률 기반으로 문장을 생성하기 때문에 발생. RAG는 실제 문서를 검색해 근거 기반 답변을 생성함으로써 이 문제를 줄이는 구조."
우리카드 독자가맹점 분리란?,"기존에 우리카드는 BC카드 산하에서 처리되던 구조였는데 독자가맹점으로 분리되면서 별도 연동이 필요해짐. 기존 빌링 시스템에 영향을 주지 않으면서 우리카드 전용 승인·매입 배치 처리 로직을 추가하는 작업."
기존 시스템에 영향 없이 우리카드 연동을 어떻게 했나요?,"기존 승인 프로세스 영향도를 먼저 분석하고 카드사별 분기 처리 구조 설계. 공통 모듈과의 인터페이스를 명확히 정의해 기존 로직을 건드리지 않고 우리카드 전용 모듈을 추가하는 방식으로 구현."
우리카드 프로젝트의 Spring Batch 구조는?,"Job·Step·Chunk 단위로 구성. 승인과 매입을 각각 별도 Job으로 분리하고 Step 안에서 카드사별 전문 포맷에 맞게 요청·응답 데이터 처리 로직 구현. 약 50만 건 규모 테스트 데이터로 검증."
JobPass는 어떻게 활용했나요?,"배치 스케줄 관리 도구. 승인·매입 배치 Job의 실행 시간과 주기 설정, 실행 결과 모니터링, 오류 발생 시 로그 확인으로 원인 파악."
KT 챗봇 프로젝트에서 어떤 역할을 했나요?,"React·TypeScript 기반 챗봇 시나리오 관리 화면과 관리자 페이지 개발, Spring 기반 REST API 개발. 프론트와 백엔드 모두 담당. 운영자가 시나리오·응답·연관 메뉴를 관리할 수 있는 백오피스 시스템 구현."
KT 챗봇 AI 구조는 어떻게 되나요?,"AI 모델 개발 프로젝트가 아닌 시나리오 기반 운영형 챗봇. 내부 AI/NLP 엔진과 연동되는 구조였고 시나리오 관리·의도 배포·API 연동·사용자 인터랙션 영역 담당. Redis 기반 상태 데이터와 API가 연동되는 구조 경험."
챗봇 시나리오 구조는?,"시나리오가 상위 개념이고 사용자에게 노출되는 여러 타이틀이 하나의 시나리오와 연결되는 구조. 다양한 표현이나 메뉴를 선택해도 내부적으로 동일한 시나리오 흐름으로 연결."
플러스의도버튼 기능이란?,"사용자가 자주 사용하는 기능이나 주요 메뉴로 빠르게 이동하는 기능. 플러스 버튼 클릭 시 인기검색어·MY KT·상담사 연결 메뉴 노출. 운영자가 버튼명·노출 순서·연결 시나리오 등을 직접 관리."
KT 챗봇 데이터 구조 설계는?,"시나리오와 타이틀 간 관계를 JPA 연관관계로 설계. N+1 문제 고려해 필요한 경우 fetch join 기반 조회 구조 사용."
KT 챗봇에서 어려웠던 점은?,"기존 운영 중인 KT 챗봇 고도화라 기존 인증 정책과 운영 구조를 맞춰야 했음. 테스트 가능한 KT 계정 수가 제한적이어서 세션 충돌·중복 로그인 문제 발생. 테스트 계정을 분리 관리하고 동시 접근 방식 조정으로 해결."
Redis는 어떤 용도로 사용했나요 (KT 챗봇)?,"사용자 대화 흐름이나 세션성 데이터처럼 빠른 접근이 필요한 데이터 관리. 메모리 기반 저장소라 응답 속도 측면 장점. DB 반복 조회 부담 감소 및 실시간 인터랙션 처리 성능 개선."
대구은행 스마트캠퍼스에서 어떤 역할을 했나요?,"Spring Boot 기반 REST API 개발, 모바일 키오스크 연동 API 구현, 관리자·통계 화면 JavaScript 개발, Spring Batch 기반 통계 배치 작업 및 운영 장애 대응."
키오스크 연동 시 중요하게 고려한 점은?,"키오스크는 사용자 대기 시간이 UX에 직접 영향을 주므로 응답 속도와 안정성을 최우선으로 고려. 네트워크 오류나 API 실패 상황에 대한 예외 처리도 함께 설계."
대구은행에서 Spring Batch를 왜 실시간 집계 대신 사용했나요?,"통계 데이터는 조회량이 많고 집계 비용이 크기 때문에 배치 기반 사전 집계 방식이 성능과 운영 측면에서 효율적. 복잡한 집계 쿼리 반복 수행 부담 감소."
Spring Batch Chunk 방식이란?,"일정 단위(chunk)로 데이터를 읽고 처리한 뒤 commit하는 방식. 예: 1000건씩 읽어 처리 후 commit. 실패 시 해당 chunk 단위까지 rollback 후 재처리 가능. 메모리와 트랜잭션 관리 측면에서 효율적."
배치 처리 중 오류 발생 시 어떻게 되나요?,"현재 chunk 단위까지 rollback되고 이후 재처리. chunk 크기와 commit 주기를 적절히 설계하는 것이 중요."
Vue.js와 Angular를 함께 사용한 이유는?,"기존 시스템이 Angular 기반이었고 신규 화면 개발은 Vue.js로 진행하는 구조. 기존 Angular 화면은 유지보수 담당, 새로운 시각화 화면은 Vue.js로 구현."
공공 프로젝트 e호조의 특징은?,"공공 표준 프레임워크 eGovFramework 사용, LG CNS MDD 툴 기반으로 화면과 업무 로직 구현. 정해진 규격과 절차 준수, 타 시스템 연계 처리도 공공 표준 방식 적용."
삼성전자 DS부문 공통서비스 플랫폼이란?,"전사에서 공통으로 사용하는 서비스 API 개발·운영. 시스템 관리·사용자/부서 정보 조회·결재·메일·권한·다국어·파일 처리 등 공통 기능 담당."
대규모 공통 플랫폼 운영의 어려운 점은?,"하나의 API 변경이 여러 시스템에 영향을 줄 수 있어 변경 시 영향도를 꼼꼼히 분석해야 함. Jira로 이슈와 요청사항을 체계적으로 관리하며 운영."
VAN사 없이 직승인 구조란?,"VAN사를 거치지 않고 카드사와 직접 TCP/IP 소켓 통신으로 연결하는 방식. 처리 속도 향상·수수료 절감 효과. 카드사별로 다른 인터페이스 스펙을 직접 분석하고 연동해야 하는 복잡함 있음."
왜 TCP/IP 소켓 통신을 사용했나요?,"금융권 레거시 시스템 호환성 및 실시간 승인 응답의 안정성 때문. Keep-alive로 오버헤드가 적고 고정 길이 전문(Fixed Length) 사용으로 파싱 속도 빠르며 위치 기반 처리 가능."
직승인 Gateway 서버의 역할은?,"①카드사별 세션 연결 및 재연결 관리 ②전문의 안정적인 송수신 ③카드사별 서로 다른 규격을 내부 표준 규격으로 변환(통신 공통화) ④업무 로직과 통신 로직 분리."
카드사별 전문 포맷은 어떻게 파싱했나요?,"위치 기반의 Fixed Length 전문으로 설계. 빈 공간은 패딩, 숫자는 0 채우기로 길이를 맞춤. Gateway 단에서 분석해 공통 코드로 매핑, 상위 서비스 로직에서는 카드사 구분 없이 일관된 처리 가능."
승인 실패나 타임아웃 발생 시 대응은?,"타임아웃 발생 시 즉시 상세 로그 저장 및 이력 관리로 운영팀 즉각 추적 가능. Gateway에서 자동 재연결(Re-connection) 시도로 서비스 가동률 확보."
100만 건 배치에서 DB Lock 문제를 어떻게 해결했나요?,"Chunk Size와 Commit 주기 튜닝으로 트랜잭션 유지 시간 단축. DB팀과 협업해 실행 계획 분석 및 인덱스 스캔 정상 여부 점검. Thread 수와 Connection Pool 경쟁을 고려해 최적 임계치 설정."
배치 처리 시 중요하게 검증한 지표는?,"전체 처리 시간, Chunk 단위 커밋 동작 여부, DB 부하(Wait/Lock), 메모리 사용량. 특히 배치 도중 실시간 운영 쿼리의 응답 속도 저하 여부 모니터링."
ERP 결재 기능은 어떻게 구현했나요?,"문서 상태값 기반 처리. 결재 요청 시 상태를 '요청'으로 변경, 승인/반려 여부에 따라 다음 상태 업데이트. 현재 문서 상태가 다음 단계로 넘어갈 수 있는지 확인하고 중복 결재 방지 검증 로직 추가. (작성→결재요청→승인/반려→완료)"
ERP 공통코드 관리 기능이란?,"여러 화면에서 공통으로 쓰는 코드값을 관리자가 직접 CRUD 할 수 있는 기능. 프론트에서 이 API를 호출해 셀렉트 박스 구성이나 상태값 표시에 공통으로 사용."
재난관리시스템에서 어떤 화면을 개발했나요?,"발전소 시설 주요 데이터를 실시간 모니터링하는 화면 구현. n3n 빅데이터 시각화 솔루션과 연동해 실시간 데이터를 화면에 반영. REST API polling 방식으로 데이터 수신, 차트·게이지·상태 패널 위젯에 바인딩."
