apple,사과
서버 선택기준,"프레임워크지원범위,배칭동시성시능,앙상블,운영/모니터링,단일,단순배포를 제외하곤 Triton적합(복잡한서비스)"
양자화(Quantization),FP32정밀도를 INT8이나 FP16으로 낮춤
증류(Distillation),큰 모델의 지식을 작은 모델에 전수
프루닝(Pruning),불필요한 뉴런 제거
멀티테넌트,하나의 시스템이나 인프라를 여러 사용자가 공유하지만 서로 데이터와 자원이 격리된 상태
동시성,여러일을 구조적으로 다루는 능력(동시성이 잘 설계돼야 병렬성을 효과적으로 활용)
병렬성,물리적으로 동시에 실행하는 능력
SLO,지표에 대한 목표기준(99.9%가용성)
openCV흐름,"imgproc로 색공간변환,리사이즈처리하고 videoio로 웹캠루프를구성 추론런타임은 ONNX Runtime 선택 맥에선 CoreMLExecutionProvicer를 통안 ANE가속이 가능하고 모델 호환성도 넓기땜눈 CUDA 환경이었다면 전처리까지 GPU위에서 처리해 전송 비용을 줄이는 구조"
Embedding,텍스트 데이터를 고차원 벡터 형태로 변환 의미적인 유사성 반영
Vector DB,임베딩된 백테 데이터 저장하고 유사도 기반 검색을 수행 의미적으로 가까운데이터 찾는
Semantic Search,키워드기반 검색이 아니라 의미기반검색(의미가 유사하면 검색결과 포함)
Retriever,사용자의 질문을 기반으로 관련 문서를 검색하는 역할
Reranker,Retriever가 가져온 여러 후보중 적합한 문서를 정렬(정확도 높임)
Prompt,"llm에게 전달하는 입력 전체 (역할,지시,조건,예시,컨텍스트 정보)"
Context Window,llm이 한번에 처리할 수 있는 입력 토큰의 최대 법위
Hallucination,llm이 실제로 존재하지 않는 정보나 사실이 아닌 내용을 그럴듯하게 생성(확률기반)
